X,Y,Z,G,S,AVG
-464,-592,-252,793,0,1016
-452,-612,-196,785,0,1016
-576,-656,-128,882,0,1016
-484,-560,-96,746,0,1016
-356,-616,-188,735,0,1016
-416,-596,-116,736,0,1016
-416,-640,-136,775,0,1016
-484,-512,68,707,0,1016
-712,-636,60,956,0,1016
-464,-576,76,743,0,1016
-612,-668,160,919,0,1016
-720,-708,140,1019,0,1016
-436,-544,312,763,0,1016
-648,-256,736,1013,0,1016
-528,-32,736,906,0,1016
-388,24,736,832,0,1016
-356,216,960,1046,0,1016
-380,256,1200,1284,0,1016
-340,480,1316,1441,0,1016
-16,652,1376,1522,0,1016
64,668,1312,1473,0,1016
88,676,1176,1359,0,1016
-260,668,1088,1302,0,1016
-116,644,1180,1349,0,1016
-72,544,1208,1326,0,1016
-200,600,1272,1420,0,1286
-192,568,1284,1417,0,1286
-200,504,1144,1265,0,1286
-260,460,1136,1252,0,1286
-260,556,1184,1333,0,1286
-192,560,1164,1305,0,1286
-212,540,1156,1293,0,1286
-224,528,1148,1283,0,1286
-228,568,1152,1304,0,1286
-256,588,1148,1314,0,1286
-96,560,1188,1316,0,1286
-240,572,1124,1283,0,1286
-180,508,1116,1239,0,1286
-320,496,1112,1258,0,1286
-260,572,832,1042,0,1286
-252,508,1136,1269,0,1286
-244,544,1120,1268,0,1286
-244,536,1132,1276,0,1286
-244,548,1136,1284,0,1286
-256,540,1112,1262,0,1286
-244,560,1164,1314,0,1286
-228,560,1156,1304,0,1286
-240,560,1152,1303,0,1286
-252,536,1116,1263,0,1286
-256,560,1152,1306,0,1286
-244,544,1148,1293,0,1193
-228,576,1156,1311,0,1193
-228,512,1200,1324,0,1193
-228,540,1148,1288,0,1193
-244,524,1144,1281,0,1193
-228,528,1120,1259,0,1193
-208,508,1120,1247,0,1193
-192,472,1088,1201,0,1193
-196,484,1092,1210,0,1193
-188,496,1072,1196,0,1193
-264,536,1072,1227,0,1193
-372,528,1056,1237,0,1193
-424,528,1100,1291,0,1193
-456,484,1116,1299,0,1193
-464,480,1084,1273,0,1193
-456,440,1048,1224,0,1193
-436,384,1036,1187,0,1193
-452,368,988,1147,0,1193
-452,484,976,1179,0,1193
-228,524,860,1032,0,1193
-60,544,560,783,0,1193
-16,676,444,808,0,1193
-84,868,224,900,0,1193
-384,1148,76,1212,0,1193
-388,1376,28,1429,0,1193
-500,1536,-80,1617,0,1579
-464,1728,-144,1794,0,1579
-452,1676,32,1736,0,1579
-412,1712,224,1775,0,1579
-324,1676,132,1712,0,1579
-316,1760,156,1794,0,1579
-416,1676,288,1750,0,1579
-480,1728,352,1827,0,1579
-516,1308,408,1464,0,1579
-372,1312,256,1387,0,1579
-324,1712,-36,1742,0,1579
-228,1892,-260,1923,0,1579
-200,1644,-192,1667,0,1579
-224,1520,-128,1541,0,1579
-116,1408,-196,1426,0,1579
-32,1380,-192,1393,0,1579
88,1560,-244,1581,0,1579
384,1328,-528,1479,0,1579
600,908,-348,1142,0,1579
408,1164,-72,1235,0,1579
248,1324,-68,1348,0,1579
92,1292,-16,1295,0,1579
-160,1444,352,1494,0,1579
-272,1540,256,1584,0,1579
-520,1692,112,1773,0,1579
-724,1660,204,1822,0,1915
-1216,1508,384,1974,0,1915
-1180,1496,412,1949,0,1915
-964,1740,184,1997,0,1915
-576,2240,-320,2334,0,1915
-304,2116,-436,2181,0,1915
-228,1724,-244,1756,0,1915
-200,1596,-200,1620,0,1915
-124,1612,-244,1635,0,1915
112,1668,-372,1712,0,1915
568,1276,-616,1526,0,1915
632,668,-264,956,0,1915
636,608,-244,913,0,1915
284,1136,-220,1191,0,1915
-116,1776,204,1791,0,1915
-116,2224,268,2243,0,1915
-252,2352,92,2367,0,1915
-456,2040,716,2209,0,1915
-544,1520,760,1784,0,1915
-840,1548,768,1921,0,1915
-1148,1552,356,1962,0,1915
-1280,1996,-32,2371,0,1915
-1000,2084,-544,2374,0,1915
-900,2460,-608,2689,0,1915
-712,2428,-680,2620,0,1915
-424,2400,-656,2523,0,1915
-188,2300,-488,2358,0,1915
240,1920,-656,2043,0,1915
1232,1264,-1168,2116,0,1915
932,644,-564,1265,0,1915
632,800,-308,1065,0,1915
324,1436,-356,1514,0,1915
60,1948,-180,1957,0,1915
-380,2336,412,2402,0,1915
-624,2172,476,2309,0,1915
-892,2016,952,2401,0,1915
-1312,1752,1148,2471,0,1915
-1504,1804,792,2478,0,1915
-1312,1712,368,2188,0,1915
-912,2032,48,2227,0,1915
-612,2208,-144,2295,0,1915
-388,1984,-156,2027,0,1915
-232,1660,-116,1680,0,1915
0,1888,-160,1894,0,1915
844,1612,-800,1987,0,1915
1564,1052,-1012,2139,0,1915
1176,1152,-752,1809,0,1915
560,2008,-528,2150,0,1915
236,2736,-576,2805,0,1915
-436,2840,76,2874,0,1915
-528,2360,28,2418,0,2140
-848,2076,160,2248,0,2140
-1660,2016,460,2651,0,2140
-2304,1580,752,2893,0,2140
-1908,1728,560,2634,0,2140
-932,2860,-336,3026,0,2140
-328,3160,-412,3203,0,2140
-372,2652,-336,2698,0,2140
-244,2416,-388,2459,0,2140
12,2780,-564,2836,0,2140
1312,1932,-1152,2604,0,2140
2112,992,-1204,2625,0,2140
1776,1200,-932,2337,0,2140
640,2296,-768,2504,0,2140
348,3196,-772,3306,0,2140
-356,3856,-200,3877,0,2140
-744,2980,-176,3076,0,2140
-852,2512,240,2663,0,2140
-1832,2672,960,3378,0,2140
-2768,2160,1316,3749,0,2140
-1892,2268,768,3051,0,2140
-676,3344,-156,3415,0,2140
-252,3648,-388,3677,0,2140
-308,3296,-416,3336,0,2140
-200,3100,-476,3142,0,2140
472,3084,-1124,3316,0,2988
2336,1124,-1732,3117,0,2988
2188,1148,-1184,2739,0,2988
1144,1656,-900,2204,0,2988
416,2812,-776,2946,0,2988
60,4032,-680,4089,0,2988
-608,3888,-36,3935,0,2988
-412,2940,-508,3011,0,2988
-1416,3064,476,3408,0,2988
-2368,2556,1052,3639,0,2988
-3040,1944,1292,3832,0,2988
-1148,2892,-116,3113,0,2988
-244,3696,-448,3731,0,2988
-328,3680,-320,3708,0,2988
-228,3460,-592,3517,0,2988
112,3504,-848,3606,0,2988
2032,2212,-1840,3522,0,2988
3040,1188,-1568,3620,0,2988
1828,1500,-884,2524,0,2988
480,2924,-640,3031,0,2988
192,4320,-768,4391,0,2988
-832,4108,-160,4194,0,2988
-900,2864,-452,3035,0,2988
-1600,2656,356,3121,0,2988
-2708,2556,716,3791,0,2988
-3368,1688,896,3872,0,3427
-1508,2928,36,3293,0,3427
-416,4156,-608,4220,0,3427
-444,4208,-584,4271,0,3427
-308,3776,-584,3833,0,3427
484,3404,-820,3534,0,3427
2828,1920,-1680,3808,0,3427
3268,1612,-1276,3860,0,3427
1664,2000,-900,2752,0,3427
332,3520,-720,3608,0,3427
-516,4824,-744,4908,0,3427
-884,3728,-168,3835,0,3427
-680,2908,-228,2995,0,3427
-1824,2944,964,3594,0,3427
-3024,2460,1304,4110,0,3427
-2528,1820,1312,3380,0,3427
-932,3132,-256,3277,0,3427
-320,3800,-516,3848,0,3427
-228,3484,-544,3533,0,3427
-164,3040,-544,3092,0,3427
316,3236,-912,3376,0,3427
2368,1648,-1664,3330,0,3427
2648,1164,-1168,3119,0,3427
1440,1632,-980,2386,0,3427
384,2908,-708,3017,0,3427
4,3996,-628,4045,0,3560
-964,3588,92,3716,0,3560
-384,2048,-196,2092,0,3560
-436,2276,56,2318,0,3560
-1320,2096,288,2493,0,3560
-1696,1644,732,2472,0,3560
-1508,1840,452,2421,0,3560
-500,2508,-244,2568,0,3560
-116,2764,-400,2795,0,3560
-80,2532,-276,2548,0,3560
-48,2432,-336,2455,0,3560
192,2844,-804,2961,0,3560
1180,1920,-836,2403,0,3560
1796,1220,-752,2297,0,3560
1656,1200,-768,2184,0,3560
476,2112,-592,2244,0,3560
160,2492,-452,2537,0,3560
-356,2828,56,2850,0,3560
-572,2192,236,2277,0,3560
-496,2148,-52,2205,0,3560
-1504,2212,472,2716,0,3560
-2088,1848,676,2869,0,3560
-1568,1904,632,2546,0,3560
-660,2936,-228,3017,0,3560
-136,3248,-448,3281,0,3560
-100,2716,-336,2738,0,2600
-52,2272,-352,2299,0,2600
304,2224,-296,2264,0,2600
1340,1760,-804,2353,0,2600
1756,1112,-832,2238,0,2600
1292,1148,-636,1841,0,2600
484,1840,-500,1967,0,2600
252,2716,-656,2805,0,2600
-288,3424,-372,3456,0,2600
-564,2780,-196,2843,0,2600
-436,2264,-228,2316,0,2600
-968,2380,12,2569,0,2600
-1940,2008,540,2843,2843,2600
-2228,1420,1084,2855,2843,2600
-1000,2396,236,2607,0,2600
-412,3580,-68,3604,0,2600
-196,3408,-160,3417,0,2600
76,2844,-276,2858,0,2600
448,2528,-452,2606,0,2600
1164,1888,-720,2331,0,2600
2044,1280,-912,2578,0,2600
1948,1248,-1008,2523,2523,2600
608,2204,-872,2446,0,2600
332,3096,-904,3242,0,2600
-160,3980,-804,4063,0,2600
-772,3524,-356,3625,0,2741
